route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
L1 OWL,1,L1 OWL,Midnight-5am Service (Bus) for L1,,3,,FFFFFF,000000
LUCYGO,1,LUCYGO,Gold Loop through University City,,3,,FFFFFF,000000
LUCYGR,1,LUCYGR,Green Loop through University City,,3,,FFFFFF,000000
M1,1,M1,Norristown High Speed Line Local,,1,,5F249F,FFFFFF
T1,1,T1,Route 10,,0,,5A960A,FFFFFF
T2,1,T2,Route 34,,0,,5A960A,FFFFFF
T3,1,T3,Route 13,,0,,5A960A,FFFFFF
T4,1,T4,Route 11,,0,,5A960A,FFFFFF
T5,1,T5,Route 36,,0,,5A960A,FFFFFF
T5 Bus,1,T5 Bus,Route 36 Bus,,0,,5A960A,FFFFFF
